"Y,""X"",""Z"""
"555473.360,""4482703.088"",""676.517"""
"555775.969,""4482211.719"",""681.480"""
"555821.049,""4481677.049"",""718.467"""
"556328.050,""4483237.870"",""0.000"""
"556779.480,""4482990.630"",""0.000"""
"556292.180,""4483139.630"",""0.000"""
"556275.400,""4483093.700"",""0.000"""
"556277.523,""4483084.912"",""0.000"""
"556287.960,""4483041.750"",""0.000"""
"556310.560,""4483013.490"",""0.000"""
"556347.360,""4482990.430"",""0.000"""
"556377.490,""4482976.000"",""0.000"""
"556401.540,""4482973.930"",""0.000"""
"556417.220,""4482961.260"",""0.000"""
"556454.760,""4482928.100"",""0.000"""
"556513.280,""4482912.310"",""0.000"""
"556519.000,""4482908.300"",""0.000"""
"556556.640,""4482881.880"",""0.000"""
"556560.770,""4482880.290"",""0.000"""
"556602.270,""4482864.380"",""0.000"""
"556613.030,""4482860.250"",""0.000"""
"556618.585,""4482859.150"",""0.000"""
"556667.600,""4482849.420"",""0.000"""
"556681.160,""4482858.180"",""0.000"""
"556718.350,""4482891.330"",""0.000"""
"556496.460,""4482916.848"",""0.000"""
"556593.754,""4483092.349"",""0.000"""
"556514.365,""4482913.886"",""634.826"""
"556528.760,""4482928.908"",""634.861"""
"556552.813,""4482950.308"",""634.801"""
"556582.009,""4482984.040"",""634.515"""
"556607.146,""4483005.370"",""634.889"""
"556627.797,""4483028.609"",""634.748"""
"556608.856,""4483046.075"",""634.992"""
"556575.921,""4483040.049"",""635.034"""
"556538.458,""4483031.009"",""634.980"""
"556504.054,""4483007.780"",""635.254"""
"556479.246,""4482989.561"",""635.168"""
"556444.027,""4482966.037"",""635.095"""
"556401.652,""4482973.918"",""635.324"""
"556412.498,""4482981.129"",""635.338"""
"556430.625,""4483012.689"",""635.392"""
"556461.917,""4483044.715"",""635.415"""
"556490.116,""4483078.522"",""635.433"""
"556508.966,""4483103.496"",""635.451"""
"556526.764,""4483124.410"",""635.336"""
"556505.948,""4483140.447"",""635.629"""
"556473.276,""4483112.632"",""635.567"""
"556440.831,""4483087.828"",""635.659"""
"556410.475,""4483104.784"",""635.803"""
"556439.501,""4483139.417"",""635.919"""
"556410.478,""4483155.732"",""635.918"""
"556390.382,""4483139.874"",""635.933"""
"556381.117,""4483128.200"",""635.962"""
"556372.887,""4483139.919"",""635.876"""
"556373.792,""4483142.064"",""635.860"""
"556355.199,""4483153.104"",""636.028"""
"556353.595,""4483151.443"",""636.003"""
"556336.940,""4483162.934"",""636.284"""
"556337.611,""4483166.691"",""636.307"""
"556324.178,""4483176.938"",""636.474"""
"556321.027,""4483174.237"",""636.347"""
"556314.583,""4483177.680"",""636.403"""
"556313.387,""4483182.147"",""636.578"""
"556224.800,""4483188.424"",""636.956"""
"556224.981,""4483189.026"",""636.695"""
"556227.199,""4483193.991"",""636.674"""
"556227.428,""4483194.611"",""636.830"""
"556228.915,""4483198.206"",""636.747"""
"556246.847,""4483194.779"",""636.754"""
"556246.452,""4483190.600"",""636.807"""
"556246.289,""4483189.941"",""636.592"""
"556244.968,""4483184.094"",""636.564"""
"556244.915,""4483183.433"",""636.772"""
"556244.210,""4483181.142"",""636.672"""
"556270.408,""4483172.937"",""636.530"""
"556271.855,""4483176.719"",""636.568"""
"556272.015,""4483177.405"",""636.402"""
"556272.297,""4483182.905"",""636.428"""
"556272.324,""4483184.108"",""636.747"""
"556273.191,""4483187.273"",""636.465"""
"556285.169,""4483182.416"",""636.422"""
"556283.892,""4483180.623"",""636.473"""
"556283.853,""4483180.150"",""636.411"""
"556283.077,""4483173.977"",""636.397"""
"556282.830,""4483173.225"",""636.558"""
"556281.307,""4483167.410"",""636.445"""
"556298.655,""4483171.317"",""636.538"""
"556298.603,""4483174.909"",""636.354"""
"556298.477,""4483179.084"",""636.383"""
"556298.116,""4483186.385"",""636.575"""
"556312.490,""4483182.681"",""636.550"""
"556312.413,""4483179.455"",""636.482"""
"556310.937,""4483166.451"",""636.305"""
"556303.493,""4483170.667"",""636.540"""
"556298.625,""4483165.831"",""636.450"""
"556312.905,""4483196.375"",""636.576"""
"556304.772,""4483207.415"",""636.512"""
"556294.405,""4483210.287"",""636.566"""
"556293.236,""4483195.849"",""636.636"""
"556304.093,""4483219.390"",""636.606"""
"556317.976,""4483215.988"",""636.479"""
"556324.922,""4483232.545"",""636.562"""
"556316.282,""4483238.378"",""636.431"""
"556319.948,""4483244.550"",""636.609"""
"556328.373,""4483238.991"",""636.596"""
"556331.030,""4483241.855"",""636.163"""
"556343.831,""4483233.841"",""636.557"""
"556337.679,""4483220.777"",""636.397"""
"556332.724,""4483205.397"",""636.347"""
"556324.547,""4483182.322"",""636.405"""
"556312.019,""4483167.195"",""636.288"""
"556310.113,""4483153.395"",""636.354"""
"556305.061,""4483145.771"",""636.337"""
"556316.483,""4483142.525"",""636.315"""
"556324.601,""4483141.282"",""636.266"""
"556341.373,""4483135.923"",""636.304"""
"556351.801,""4483143.660"",""636.199"""
"556338.272,""4483161.829"",""636.276"""
