X,Y,Z
4482703.088,555473.360,676.517
4482211.719,555775.969,681.480
4481677.049,555821.049,718.467
4482913.886,556514.365,634.826
4482928.908,556528.760,634.861
4482950.308,556552.813,634.801
4482984.040,556582.009,634.515
4483005.370,556607.146,634.889
4483028.609,556627.797,634.748
4483046.075,556608.856,634.992
4483040.049,556575.921,635.034
4483031.009,556538.458,634.980
4483007.780,556504.054,635.254
4482989.561,556479.246,635.168
4482966.037,556444.027,635.095
4482973.918,556401.652,635.324
4482981.129,556412.498,635.338
4483012.689,556430.625,635.392
4483044.715,556461.917,635.415
4483078.522,556490.116,635.433
4483103.496,556508.966,635.451
4483124.410,556526.764,635.336
4483140.447,556505.948,635.629
4483112.632,556473.276,635.567
4483087.828,556440.831,635.659
4483104.784,556410.475,635.803
4483139.417,556439.501,635.919
4483155.732,556410.478,635.918
4483139.874,556390.382,635.933
4483128.200,556381.117,635.962
4483139.919,556372.887,635.876
4483142.064,556373.792,635.860
4483153.104,556355.199,636.028
4483151.443,556353.595,636.003
4483162.934,556336.940,636.284
4483166.691,556337.611,636.307
4483176.938,556324.178,636.474
4483174.237,556321.027,636.347
4483177.680,556314.583,636.403
4483182.147,556313.387,636.578
4483188.424,556224.800,636.956
4483189.026,556224.981,636.695
4483193.991,556227.199,636.674
4483194.611,556227.428,636.830
4483198.206,556228.915,636.747
4483194.779,556246.847,636.754
4483190.600,556246.452,636.807
4483189.941,556246.289,636.592
4483184.094,556244.968,636.564
4483183.433,556244.915,636.772
4483181.142,556244.210,636.672
4483172.937,556270.408,636.530
4483176.719,556271.855,636.568
4483177.405,556272.015,636.402
4483182.905,556272.297,636.428
4483184.108,556272.324,636.747
4483187.273,556273.191,636.465
4483182.416,556285.169,636.422
4483180.623,556283.892,636.473
4483180.150,556283.853,636.411
4483173.977,556283.077,636.397
4483173.225,556282.830,636.558
4483167.410,556281.307,636.445
4483171.317,556298.655,636.538
4483174.909,556298.603,636.354
4483179.084,556298.477,636.383
4483186.385,556298.116,636.575
4483182.681,556312.490,636.550
4483179.455,556312.413,636.482
4483166.451,556310.937,636.305
4483170.667,556303.493,636.540
4483165.831,556298.625,636.450
4483196.375,556312.905,636.576
4483207.415,556304.772,636.512
4483210.287,556294.405,636.566
4483195.849,556293.236,636.636
4483219.390,556304.093,636.606
4483215.988,556317.976,636.479
4483232.545,556324.922,636.562
4483238.378,556316.282,636.431
4483244.550,556319.948,636.609
4483238.991,556328.373,636.596
4483241.855,556331.030,636.163
4483233.841,556343.831,636.557
4483220.777,556337.679,636.397
4483205.397,556332.724,636.347
4483182.322,556324.547,636.405
4483167.195,556312.019,636.288
4483153.395,556310.113,636.354
4483145.771,556305.061,636.337
4483142.525,556316.483,636.315
4483141.282,556324.601,636.266
4483135.923,556341.373,636.304
4483143.660,556351.801,636.199
4483161.829,556338.272,636.276
4483164.345,556339.389,636.214
4483164.741,556339.659,636.302
4483176.745,556345.578,636.231
4483197.177,556350.571,636.240
4483210.526,556358.568,636.138
4483220.272,556365.319,636.440
4483226.721,556373.301,636.494
4483222.021,556386.758,635.757
4483215.334,556382.588,636.126
4483203.237,556378.137,636.119
4483190.209,556373.311,636.138
4483173.809,556367.216,636.066
4483158.826,556363.697,636.036
4483151.745,556378.399,635.969
4483142.440,556375.870,636.054
4483142.009,556375.600,635.931
4483139.563,556374.454,635.839
4483138.820,556373.951,635.939
4483125.023,556365.777,636.123
4483111.937,556357.982,636.190
4483099.023,556365.938,636.015
4483092.608,556362.839,635.913
4483111.046,556367.452,636.103
4483100.917,556382.430,636.025
4483086.421,556371.363,635.902
4483085.370,556385.580,635.814
4483075.661,556382.462,635.835
4483069.927,556402.526,635.642
4483061.250,556393.679,635.587
4483055.957,556387.204,635.587
4483040.232,556390.116,635.529
4483034.288,556379.886,635.495
4483050.486,556406.868,635.551
4483061.206,556415.866,635.708
4483050.112,556425.220,635.659
4483037.867,556415.193,635.519
4483029.961,556404.206,635.534
4483025.083,556402.145,635.416
4483001.620,556399.740,635.358
4483012.112,556406.525,635.412
4483023.009,556417.192,635.364
4483035.753,556427.770,635.470
4483044.948,556436.788,635.505
4483054.586,556444.646,635.548
4483065.130,556434.111,635.613
4483063.475,556454.547,635.490
4483075.063,556445.511,635.587
