Y,X,Z
565097.357,4479423.702,626.534
565176.667,4479510.122,610.886
565177.196,4479504.228,610.938
565171.573,4479512.144,611.483
565170.242,4479518.906,611.684
565170.703,4479520.992,610.711
565162.585,4479520.569,611.229
565165.215,4479514.924,611.927
565167.828,4479507.963,611.689
565169.864,4479501.951,611.715
565160.028,4479495.201,613.284
565155.635,4479499.776,613.243
565153.218,4479503.773,613.413
565151.599,4479505.515,614.255
565146.335,4479494.598,614.725
565149.831,4479489.310,614.589
565137.931,4479479.319,616.907
565133.551,4479482.480,617.262
565121.763,4479472.273,619.810
565125.404,4479467.969,619.721
565117.868,4479459.209,621.255
565112.841,4479463.119,621.386
565107.915,4479457.390,622.201
565109.537,4479455.424,622.191
565112.936,4479452.719,622.140
565116.669,4479452.484,622.552
565115.403,4479445.212,623.030
565109.886,4479446.987,622.765
565105.207,4479450.493,622.785
565102.433,4479450.530,623.436
565103.867,4479456.850,623.542
565092.766,4479448.260,623.773
565097.593,4479443.895,624.046
565098.304,4479442.876,623.796
565102.356,4479438.314,623.727
565103.724,4479437.267,624.007
565106.342,4479434.972,624.161
565108.010,4479434.075,624.866
565102.760,4479423.187,625.604
565101.119,4479421.903,626.456
565100.873,4479425.673,624.648
565095.906,4479430.513,624.552
565094.432,4479430.962,624.926
565088.056,4479434.271,625.100
565084.923,4479436.103,625.313
565081.245,4479429.482,626.461
565088.236,4479421.956,626.509
565099.708,4479415.735,626.376
565096.891,4479412.074,626.776
565096.208,4479408.609,627.358
565087.150,4479410.964,627.189
565078.698,4479415.558,627.149
565072.797,4479420.837,627.135
565070.334,4479422.030,627.803
565061.031,4479416.346,628.977
565057.210,4479410.993,629.279
565066.537,4479414.636,628.400
565068.447,4479412.807,627.337
565060.805,4479409.196,629.085
565073.186,4479410.060,627.468
565081.439,4479406.338,627.710
565093.063,4479402.045,627.571
565090.220,4479393.302,627.879
565086.788,4479400.002,627.551
565085.870,4479397.739,628.350
565077.100,4479398.709,628.670
565073.305,4479399.890,627.913
565071.868,4479393.899,628.489
565070.733,4479391.409,627.856
565064.906,4479397.138,627.594
565059.458,4479402.138,627.579
565054.003,4479406.200,627.231
565044.544,4479396.615,627.638
565052.080,4479390.851,627.511
565060.313,4479386.431,627.660
565067.334,4479382.590,627.559
565063.051,4479372.408,628.256
565053.294,4479377.667,628.155
565048.808,4479381.508,627.571
565045.612,4479383.717,627.708
565043.789,4479384.072,628.405
565040.525,4479386.364,628.529
565033.145,4479380.610,629.127
565039.944,4479378.029,629.159
565042.841,4479376.158,627.632
565048.452,4479372.089,627.761
565058.795,4479366.406,627.743
565055.310,4479359.398,628.067
565047.539,4479363.660,627.727
565038.451,4479368.731,628.025
565034.884,4479363.973,628.212
565041.834,4479360.494,628.021
565048.668,4479356.831,628.024
565053.808,4479353.614,628.067
565049.350,4479350.322,628.134
565043.350,4479355.073,628.184
565036.126,4479352.847,628.532
565028.584,4479358.629,628.423
565026.365,4479365.141,630.118
565029.625,4479367.311,629.404
565034.311,4479365.280,629.299
565037.808,4479371.013,629.362
565031.467,4479375.823,629.641
565029.796,4479379.894,629.974
565036.727,4479381.003,629.378
565040.942,4479378.486,629.079
565077.086,4479397.330,628.848
565079.674,4479394.930,628.951
565079.228,4479388.347,629.746
565073.129,4479388.787,630.120
565069.295,4479381.160,630.995
565079.242,4479382.995,630.251
565075.428,4479377.774,631.111
565071.061,4479370.161,631.360
565065.723,4479371.854,631.313
565060.358,4479364.091,631.444
565069.983,4479361.667,631.621
565070.400,4479354.473,631.808
565062.885,4479352.221,631.674
565057.148,4479353.908,631.434
565049.498,4479347.084,631.631
565051.577,4479339.323,631.994
565057.366,4479335.658,632.101
